"experiment_id","metric_id","attribution_windows"
"Current Experiment","Sign Up",2
"Current Experiment","Use Feature 1",3
"Current Experiment","Talk to Sales",5
"Current Experiment","Pay/Subscribe",7
"Experiment 1","Sign Up",2
"Experiment 1","Use Feature 1",3
"Experiment 1","Talk to Sales",5
"Experiment 1","Pay/Subscribe",7
"Experiment 2","Sign Up",2
"Experiment 2","Use Feature 1",3
"Experiment 2","Talk to Sales",5
"Experiment 2","Pay/Subscribe",7
"Experiment 3","Sign Up",2
"Experiment 3","Use Feature 1",3
"Experiment 3","Talk to Sales",5
"Experiment 3","Pay/Subscribe",7
